#        zzz        K140        K125        K814     C814125     C814140        DMDM
#
           1      0.8485      0.6841     -0.9441       1.628       1.793        44.1
        1.05      0.8417      0.6657      -1.078       1.744        1.92       44.23
         1.1      0.8335      0.6455      -1.219       1.864       2.052       44.36
        1.15      0.8135      0.6126      -1.347       1.959        2.16       44.48
         1.2      0.7995      0.5815      -1.465       2.047       2.265       44.59
        1.25      0.7901      0.5546       -1.58       2.134        2.37        44.7
         1.3      0.7703      0.5264      -1.694       2.221       2.465        44.8
        1.35      0.7442      0.4908       -1.82       2.311       2.564       44.91
         1.4      0.7203       0.457       -1.94       2.397        2.66          45
        1.45      0.6969      0.4179      -2.029       2.446       2.725        45.1
         1.5      0.6725      0.3738      -2.138       2.512       2.811       45.19
        1.55       0.649      0.3235      -2.264       2.588       2.913       45.28
         1.6      0.6248      0.2688      -2.392       2.661       3.017       45.36
        1.65      0.5938      0.2137      -2.513       2.727       3.107       45.44
         1.7      0.5601      0.1701      -2.626       2.796       3.186       45.52
        1.75      0.5199      0.1286      -2.769       2.897       3.288        45.6
         1.8      0.4721     0.06311      -2.912       2.975       3.384       45.68
        1.85      0.4251    -0.01347      -3.056       3.043       3.482       45.75
         1.9      0.3788    -0.09601      -3.207       3.111       3.586       45.82
        1.95      0.3348     -0.1868      -3.381       3.194       3.716       45.89
           2      0.2875      -0.278      -3.543       3.265        3.83       45.96
