#        zzz        K140        K125        K814     C814125     C814140        DMDM
#
           1      0.7839      0.7289    -0.07561      0.8046      0.8595        44.1
        1.05      0.8007      0.7396     -0.1754       0.915      0.9761       44.23
         1.1      0.8161      0.7483     -0.2753       1.024       1.091       44.36
        1.15      0.8236      0.7567      -0.374       1.131       1.198       44.48
         1.2      0.8354      0.7628     -0.4697       1.232       1.305       44.59
        1.25      0.8484       0.768     -0.5617        1.33        1.41        44.7
         1.3      0.8563      0.7691     -0.6602       1.429       1.517        44.8
        1.35      0.8613      0.7725     -0.7546       1.527       1.616       44.91
         1.4      0.8677      0.7761      -0.853       1.629       1.721          45
        1.45      0.8772      0.7783     -0.9305       1.709       1.808        45.1
         1.5      0.8779      0.7774      -1.014       1.791       1.892       45.19
        1.55      0.8848      0.7662      -1.106       1.872        1.99       45.28
         1.6      0.8911      0.7616       -1.17       1.932       2.062       45.36
        1.65      0.8947      0.7582      -1.221       1.979       2.115       45.44
         1.7      0.8967      0.7494      -1.271        2.02       2.167       45.52
        1.75      0.8939      0.7464      -1.337       2.083       2.231        45.6
         1.8      0.8831      0.7223      -1.405       2.128       2.289       45.68
        1.85      0.8806      0.6958      -1.468       2.164       2.348       45.75
         1.9      0.8775       0.673      -1.525       2.198       2.403       45.82
        1.95      0.8676      0.6265      -1.593       2.219       2.461       45.89
           2      0.8637      0.5724       -1.66       2.233       2.524       45.96
