#        zzz        K140        K125        K814     C814125     C814140        DMDM
#
           1      0.8039      0.7165     -0.3293       1.046       1.133        44.1
        1.05      0.8136      0.7171     -0.4317       1.149       1.245       44.23
         1.1      0.8216       0.715     -0.5345        1.25       1.356       44.36
        1.15      0.8223      0.7102     -0.6333       1.344       1.456       44.48
         1.2      0.8262      0.7043     -0.7289       1.433       1.555       44.59
        1.25      0.8307      0.6988     -0.8206       1.519       1.651        44.7
         1.3      0.8295      0.6908     -0.9151       1.606       1.745        44.8
        1.35       0.824      0.6813      -1.009        1.69       1.833       44.91
         1.4        0.82      0.6718      -1.105       1.777       1.925          45
        1.45      0.8186      0.6602      -1.181       1.841       1.999        45.1
         1.5      0.8116      0.6451      -1.268       1.913        2.08       45.19
        1.55      0.8082      0.6225       -1.37       1.993       2.178       45.28
         1.6      0.8037      0.6023      -1.453       2.055       2.256       45.36
        1.65      0.7958      0.5826      -1.521       2.103       2.317       45.44
         1.7      0.7855       0.563      -1.589       2.152       2.375       45.52
        1.75      0.7704      0.5463      -1.677       2.223       2.447        45.6
         1.8      0.7488      0.5087      -1.767       2.275       2.516       45.68
        1.85      0.7322      0.4687      -1.852       2.321       2.585       45.75
         1.9      0.7151      0.4307      -1.932       2.363       2.648       45.82
        1.95      0.6949      0.3745      -2.026       2.401       2.721       45.89
           2      0.6771      0.3136       -2.12       2.433       2.797       45.96
